vid,n_frames,mean_persons,scene
08_034,805,1.6347826086956523,08
08_037,1106,3.4294755877034357,08
08_043,1178,3.0475382003395586,08
08_045,798,3.8671679197994986,08
08_046,798,2.211779448621554,08
08_047,798,3.444862155388471,08
08_048,798,2.164160401002506,08
09_002,832,4.076923076923077,09
09_003,520,5.8538461538461535,09
09_005,502,1.4362549800796813,09
09_007,1577,5.556753329105898,09
10_0038,241,15.149377593360995,10
10_004,1827,5.623973727422003,10
10_0042,433,11.092378752886836,10
10_005,1852,6.2618790496760255,10
10_008,1227,5.813365933170334,10
10_009,627,11.811802232854864,10
10_011,777,5.489060489060489,10
11_003,677,1.4785819793205317,11
11_004,252,0.5714285714285714,11
11_005,1102,0.7468239564428312,11
11_006,552,1.6177536231884058,11
12_001,427,8.456674473067915,12
12_004,1077,2.9730733519034356,12
12_007,852,2.5539906103286385,12
12_008,727,3.4649243466299864,12
12_011,1652,3.5907990314769975,12
12_012,627,2.5789473684210527,12
12_0142,601,5.723793677204659,12
12_015,1052,2.8773764258555135,12
12_0151,289,4.705882352941177,12
12_0173,217,4.202764976958525,12
12_0174,337,1.913946587537092,12
13_001,602,1.5315614617940199,13
13_005,386,1.0595854922279793,13
13_006,458,1.8427947598253276,13
